0,0
10000,1500
15000,100
20000,2000
25500,100
30500,3000
35766,680
41899,1847
46607,3000
52040,2232
57006,3060
65078,929
72670,158
80000,2572
90108,328
94930,1700
99533,1500
102518,2912
110219,1500
113605,2946
121188,1800
124387,2800
127887,1800
131387,2800
134887,1800
138387,2800
141887,1800
145387,2800
148887,1800
152387,2800
155887,1800
159387,2800
162887,1800
172409,725
180251,100
187501,589
194205,1949
199733,362
205450,2618
212088,0
218601,623
218701,623
